taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
4616085	Phasianella ventricosa Swainson, 1822	4616085	Phasianella ventricosa Swainson, 1822	15	SPECIES	ACCEPTED	Animalia	1	Mollusca	52	Gastropoda	225	Trochida	9715180	Phasianellidae	4304872	Phasianella	4357660	Phasianella ventricosa	4616085	NE
4759168	Anoplognathus porosus (Dalman, 1817)	4759168	Anoplognathus porosus (Dalman, 1817)	61	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Coleoptera	1470	Scarabaeidae	5840	Anoplognathus	4759104	Anoplognathus porosus	4759168	NE
4990860	Uroplata girardi Pic, 1934	4990860	Uroplata girardi Pic, 1934	12	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Coleoptera	1470	Chrysomelidae	7780	Uroplata	4990859	Uroplata girardi	4990860	NE
5000748	Distichocera fuliginosa Blanchard, 1832	5000748	Distichocera fuliginosa Blanchard, 1832	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Coleoptera	1470	Cerambycidae	5602	Distichocera	1110138	Distichocera fuliginosa	5000748	NE
5120351	Limnaecia leucomita (Turner, 1923)	5120351	Limnaecia leucomita (Turner, 1923)	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Cosmopterigidae	8839	Limnaecia	1842261	Limnaecia leucomita	5120351	NE
5149873	Gymnoscelis lophopus Turner, 1904	5149873	Gymnoscelis lophopus Turner, 1904	4	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Geometridae	6950	Gymnoscelis	1991946	Gymnoscelis lophopus	5149873	NE
5201387	Platycephalus bassensis Cuvier, 1829	5201387	Platycephalus bassensis Cuvier, 1829	4	SPECIES	ACCEPTED	Animalia	1	Chordata	44			Scorpaeniformes	590	Platycephalidae	5101	Platycephalus	2335846	Platycephalus bassensis	5201387	NE
5415494	Melaleuca virens Craven	3173438	Callistemon viridiflorus (Sieber ex Sims) Sweet	3	SPECIES	SYNONYM	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Myrtales	690	Myrtaceae	5014	Callistemon	3173347	Callistemon viridiflorus	3173438	NE
5543783	Stylidium laricifolium Rich.	5543783	Stylidium laricifolium Rich.	5	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Asterales	414	Stylidiaceae	3232107	Stylidium	7791488	Stylidium laricifolium	5543783	NE
6157639	Pseudonaja affinis exilis Storr, 1989	6157639	Pseudonaja affinis exilis Storr, 1989	1	SUBSPECIES	ACCEPTED	Animalia	1	Chordata	44	Squamata	11592253			Elapidae	9455	Pseudonaja	2450185	Pseudonaja affinis	2450206	
6540551	Gymnorhina tibicen dorsalis A.J.Campbell, 1895	6540551	Gymnorhina tibicen dorsalis A.J.Campbell, 1895	2	SUBSPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Cracticidae	9308	Gymnorhina	2489449	Gymnorhina tibicen	2489450	
7286977	Hakea microcarpa R.Br.	7286977	Hakea microcarpa R.Br.	16	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Proteales	400	Proteaceae	2414	Hakea	7123622	Hakea microcarpa	7286977	LC
7287503	Banksia nutans R.Br.	7287503	Banksia nutans R.Br.	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Proteales	400	Proteaceae	2414	Banksia	8399031	Banksia nutans	7287503	VU
