taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
8293354	Epimetopus Lacordaire, 1854	8293354	Epimetopus Lacordaire, 1854	1	GENUS	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Coleoptera	1470	Epimetopidae	9643	Epimetopus	8293354			
8384845	Cardiocondyla obscurior Wheeler, 1929	8384845	Cardiocondyla obscurior Wheeler, 1929	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Formicidae	4342	Cardiocondyla	1317100	Cardiocondyla obscurior	8384845	NE
8946649	Diabrotica godmani Jacoby, 1887	8946649	Diabrotica godmani Jacoby, 1887	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Coleoptera	1470	Chrysomelidae	7780	Diabrotica	1048495	Diabrotica godmani	8946649	NE
10465059	Episcada hymenaea	10465059	Episcada hymenaea	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Nymphalidae	7017	Episcada	1896644	Episcada hymenaea	10465059	NE
10714528	Pericoma	10714528	Pericoma	4	GENUS	DOUBTFUL	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Mycetophilidae	5565	Pericoma	10714528			
11187024	Peribacillus	11187024	Peribacillus	3	GENUS	ACCEPTED	Bacteria	3	Firmicutes	87	Bacilli	303	Bacillales_B	11185180			Peribacillus	11187024			
11197471	Gamocarpha scapigera (J.Rémy) S.Denham & Pozner	11197471	Gamocarpha scapigera (J.Rémy) S.Denham & Pozner	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Asterales	414	Calyceraceae	6756	Gamocarpha	7274506	Gamocarpha scapigera	11197471	NE
1319872	Pachycondyla striata Smith, 1858	1319872	Pachycondyla striata Smith, 1858	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hymenoptera	1457	Formicidae	4342	Pachycondyla	1319685	Pachycondyla striata	1319872	NE
1429420	Zenithoptera viola Ris, 1910	1429420	Zenithoptera viola Ris, 1910	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Odonata	789	Libellulidae	5936	Zenithoptera	1429418	Zenithoptera viola	1429420	LC
1780310	Elaphria hyposcota Hampson, 1909	1780350	Elaphria hypophaea Hampson, 1920	1	SPECIES	SYNONYM	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Noctuidae	7015	Elaphria	1780300	Elaphria hypophaea	1780350	NE
1827902	Phaeochlaena Hübner, 1818	1827902	Phaeochlaena Hübner, 1818	2	GENUS	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Notodontidae	7016	Phaeochlaena	1827902			
1942372	Theagenes albiplaga (C.Felder & R.Felder, 1867)	1942372	Theagenes albiplaga (C.Felder & R.Felder, 1867)	3	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Hesperiidae	6953	Theagenes	1942369	Theagenes albiplaga	1942372	NE
2041610	Graphocephala Van Duzee, 1916	2041610	Graphocephala Van Duzee, 1916	1	GENUS	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hemiptera	809	Cicadellidae	9647	Graphocephala	2041610			
2440775	Dasypus Linnaeus, 1758	2440775	Dasypus Linnaeus, 1758	1	GENUS	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Cingulata	735	Dasypodidae	9369	Dasypus	2440775			NE
2450718	Tretioscincus agilis (Ruthven, 1916)	2450718	Tretioscincus agilis (Ruthven, 1916)	1	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Squamata	11592253			Gymnophthalmidae	3540	Tretioscincus	2450717	Tretioscincus agilis	2450718	LC
2478572	Campephilus leucopogon (Valenciennes, 1826)	2478572	Campephilus leucopogon (Valenciennes, 1826)	12	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Piciformes	724	Picidae	9333	Campephilus	2478560	Campephilus leucopogon	2478572	LC
2487653	Pipra fasciicauda Hellmayr, 1906	2487653	Pipra fasciicauda Hellmayr, 1906	2	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Pipridae	5270	Pipra	2487619	Pipra fasciicauda	2487653	LC
2491024	Arremonops conirostris (Bonaparte, 1850)	2491024	Arremonops conirostris (Bonaparte, 1850)	3	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Emberizidae	9608	Arremonops	2491023	Arremonops conirostris	2491024	LC
2495266	Patagioenas fasciata (Say, 1822)	2495266	Patagioenas fasciata (Say, 1822)	6	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Columbiformes	1446	Columbidae	5233	Patagioenas	2495265	Patagioenas fasciata	2495266	LC
2536054	Calvatia cyathiformis (Bosc) Morgan	2536054	Calvatia cyathiformis (Bosc) Morgan	6	SPECIES	ACCEPTED	Fungi	5	Basidiomycota	34	Agaricomycetes	186	Agaricales	1499	Agaricaceae	4170	Calvatia	9330501	Calvatia cyathiformis	2536054	NE
2550456	Artomyces Jülich	2550456	Artomyces Jülich	1	GENUS	ACCEPTED	Fungi	5	Basidiomycota	34	Agaricomycetes	186	Russulales	1144	Auriscalpiaceae	3283	Artomyces	2550456			NE
2650441	Niphidium J.Sm.	2650441	Niphidium J.Sm.	2	GENUS	ACCEPTED	Plantae	6	Tracheophyta	7707728	Polypodiopsida	7228684	Polypodiales	392	Polypodiaceae	2368	Niphidium	2650441			
2651302	Hymenophyllum decurrens (Jacq.) Sw.	2651304	Hymenophyllum protrusum Hook.	2	SPECIES	SYNONYM	Plantae	6	Tracheophyta	7707728	Polypodiopsida	7228684	Hymenophyllales	7228685	Hymenophyllaceae	2372	Hymenophyllum	2651287	Hymenophyllum protrusum	2651304	NE
2688572	Marchantia berteroana Lehm. & Lindenb.	2688572	Marchantia berteroana Lehm. & Lindenb.	1	SPECIES	ACCEPTED	Plantae	6	Marchantiophyta	9	Marchantiopsida	125	Marchantiales	376	Marchantiaceae	6110	Marchantia	2688569	Marchantia berteroana	2688572	NE
2760940	Heliconia latispatha Benth.	2760940	Heliconia latispatha Benth.	15	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Zingiberales	627	Heliconiaceae	4677	Heliconia	2760545	Heliconia latispatha	2760940	NE
2820616	Cheiradenia cuspidata Lindl.	2820616	Cheiradenia cuspidata Lindl.	4	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Asparagales	1169	Orchidaceae	7689	Cheiradenia	2820615	Cheiradenia cuspidata	2820616	NE
2905600	Ixora chinensis Lam.	2905600	Ixora chinensis Lam.	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Gentianales	412	Rubiaceae	8798	Ixora	2905224	Ixora chinensis	2905600	NE
2970418	Leucaena leucocephala (Lam.) de Wit	2970418	Leucaena leucocephala (Lam.) de Wit	159	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Fabales	1370	Fabaceae	5386	Leucaena	2970337	Leucaena leucocephala	2970418	NE
3045919	Cardamine geraniifolia (Poir.) DC.	3045919	Cardamine geraniifolia (Poir.) DC.	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Brassicales	7225535	Brassicaceae	3112	Cardamine	3045622	Cardamine geraniifolia	3045919	NE
3118430	Tanacetum parthenium (L.) Sch.Bip.	3118430	Tanacetum parthenium (L.) Sch.Bip.	154	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Asterales	414	Asteraceae	3065	Tanacetum	3118160	Tanacetum parthenium	3118430	NE
3219881	Pseudomonas Migula, 1894	3219881	Pseudomonas Migula, 1894	12	GENUS	ACCEPTED	Bacteria	3	Proteobacteria	111	Gammaproteobacteria	362	Pseudomonadales	1474	Pseudomonadaceae	5607	Pseudomonas	3219881			
3257101	Satyridae	3257101	Satyridae	2	FAMILY	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Satyridae	3257101					
3264022	Astylus Laporte, 1836	3264022	Astylus Laporte, 1836	80	GENUS	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Coleoptera	1470	Melyridae	7838	Astylus	3264022			
3861937	Aciotis ornata (Miq.) Gleason	3861937	Aciotis ornata (Miq.) Gleason	3	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Myrtales	690	Melastomataceae	6683	Aciotis	3861666	Aciotis ornata	3861937	NE
3868302	Lavoisiera confertiflora Naudin	11583160	Microlicia congestiflora Versiane & R.Romero	1	SPECIES	SYNONYM	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Myrtales	690	Melastomataceae	6683	Microlicia	3859207	Microlicia congestiflora	11583160	NE
3992764	Protium warmingianum Marchand	3992764	Protium warmingianum Marchand	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Sapindales	933	Burseraceae	6659	Protium	7286732	Protium warmingianum	3992764	LC
4769212	Deuteronoda Bechyné, 1951	4769212	Deuteronoda Bechyné, 1951	1	GENUS	DOUBTFUL	Animalia	1	Arthropoda	54	Insecta	216	Coleoptera	1470	Chrysomelidae	7780	Deuteronoda	4769212			
5169044	Scytodes fusca Walckenaer, 1837	5169044	Scytodes fusca Walckenaer, 1837	43	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Arachnida	367	Araneae	1496	Scytodidae	9573	Scytodes	2143320	Scytodes fusca	5169044	NE
5170255	Ctenus villasboasi Mello-Leitão, 1949	5170255	Ctenus villasboasi Mello-Leitão, 1949	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Arachnida	367	Araneae	1496	Ctenidae	7363	Ctenus	2152509	Ctenus villasboasi	5170255	NE
5217506	Leptodactylus pustulatus (Peters, 1870)	5217506	Leptodactylus pustulatus (Peters, 1870)	2	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Amphibia	131	Anura	952	Leptodactylidae	6739	Leptodactylus	2424034	Leptodactylus pustulatus	5217506	LC
5230338	Pachyramphus cinnamomeus Lawrence, 1861	5230338	Pachyramphus cinnamomeus Lawrence, 1861	2	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Cotingidae	5236	Pachyramphus	2486256	Pachyramphus cinnamomeus	5230338	LC
5288812	Ananas macrodontes É.Morren	5288812	Ananas macrodontes É.Morren	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Poales	1369	Bromeliaceae	3740	Ananas	2699430	Ananas macrodontes	5288812	NE
5391610	Unxia camphorata L.fil.	5391610	Unxia camphorata L.fil.	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Asterales	414	Asteraceae	3065	Unxia	7517704	Unxia camphorata	5391610	NE
5536592	Prestonia erecta (Malme) J.F.Morales	5536592	Prestonia erecta (Malme) J.F.Morales	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Gentianales	412	Apocynaceae	6701	Prestonia	3169716	Prestonia erecta	5536592	NE
6170827	Amazona autumnalis lilacina Lesson, 1844	6170827	Amazona autumnalis lilacina Lesson, 1844	1	SUBSPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Psittaciformes	1445	Psittacidae	9340	Amazona	2479603	Amazona autumnalis	2479623	
6506492	Mitrella rubra (E.von Martens, 1881)	6506492	Mitrella rubra (E.von Martens, 1881)	1	SPECIES	ACCEPTED	Animalia	1	Mollusca	52	Gastropoda	225	Neogastropoda	982	Columbellidae	2693	Mitrella	2305527	Mitrella rubra	6506492	NE
7264850	Serjania meridionalis Cambess.	7264850	Serjania meridionalis Cambess.	3	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Sapindales	933	Sapindaceae	6657	Serjania	5421120	Serjania meridionalis	7264850	NE
7294718	Heliotropium tiaridioides Cham.	7294718	Heliotropium tiaridioides Cham.	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Boraginales	7226464	Heliotropiaceae	4930387	Heliotropium	2925766	Heliotropium tiaridioides	7294718	NE
7315729	Ilex kunthiana Triana	7315729	Ilex kunthiana Triana	8	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Aquifoliales	7226638	Aquifoliaceae	6716	Ilex	10792217	Ilex kunthiana	7315729	LC
7455269	Prosopis kuntzei Harms	7455269	Prosopis kuntzei Harms	4	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Fabales	1370	Fabaceae	5386	Prosopis	2970763	Prosopis kuntzei	7455269	NE
7815022	Anemia australis (Mickel) M.Kessler & A.R.Sm.	7815022	Anemia australis (Mickel) M.Kessler & A.R.Sm.	1	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Polypodiopsida	7228684	Schizaeales	7229401	Anemiaceae	6626	Anemia	2650255	Anemia australis	7815022	NE
8080090	Trichanthecium Zuloaga & Morrone	8080090	Trichanthecium Zuloaga & Morrone	1	GENUS	ACCEPTED	Plantae	6	Tracheophyta	7707728	Liliopsida	196	Poales	1369	Poaceae	3073	Trichanthecium	8080090			NE
8259749	Protostropharia semiglobata (Batsch) Redhead, Moncalvo & Vilgalys	8259749	Protostropharia semiglobata (Batsch) Redhead, Moncalvo & Vilgalys	1	SPECIES	ACCEPTED	Fungi	5	Basidiomycota	34	Agaricomycetes	186	Agaricales	1499	Strophariaceae	4186	Protostropharia	7625102	Protostropharia semiglobata	8259749	NE
8289420	Gymnopus montagnei (Berk.) Redhead	8289420	Gymnopus montagnei (Berk.) Redhead	4	SPECIES	ACCEPTED	Fungi	5	Basidiomycota	34	Agaricomycetes	186	Agaricales	1499	Omphalotaceae	3305518	Gymnopus	2527767	Gymnopus montagnei	8289420	NE
8400302	Guilandina bonduc L.	8400302	Guilandina bonduc L.	2	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Fabales	1370	Fabaceae	5386	Guilandina	6376699	Guilandina bonduc	8400302	LC
9134415	Oxygranulobaphus willinki Brailovsky, 1982	9134415	Oxygranulobaphus willinki Brailovsky, 1982	2	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hemiptera	809	Lygaeidae	7888	Oxygranulobaphus	8916211	Oxygranulobaphus willinki	9134415	NE
9221288	Acanthinodera cumingii (Hope, 1833)	9221288	Acanthinodera cumingii (Hope, 1833)	8	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Coleoptera	1470	Cerambycidae	5602	Acanthinodera	1100389	Acanthinodera cumingii	9221288	NE
9421922	Saltatricula atricollis (Vieillot, 1817)	9421922	Saltatricula atricollis (Vieillot, 1817)	2	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Passeriformes	729	Thraupidae	9352	Saltatricula	2491686	Saltatricula atricollis	9421922	NE
