taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
1563097	Suillia affinis (Meigen, 1830)	1563097	Suillia affinis (Meigen, 1830)	3	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Heleomyzidae	5551	Suillia	1562980	Suillia affinis	1563097	NE
1601050	Rabdophaga rosaria (Loew, 1850)	1601050	Rabdophaga rosaria (Loew, 1850)	18	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Diptera	811	Cecidomyiidae	3338	Rabdophaga	1600988	Rabdophaga rosaria	1601050	NE
1771509	Tholera decimalis Poda, 1761	1771509	Tholera decimalis Poda, 1761	3	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Noctuidae	7015	Tholera	1771501	Tholera decimalis	1771509	NE
2103147	Libelloides macaronius (Scopoli, 1763)	2103147	Libelloides macaronius (Scopoli, 1763)	6	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Neuroptera	1501	Ascalaphidae	9267	Libelloides	2103069	Libelloides macaronius	2103147	NE
2104231	Chrysopa alba (Linnaeus, 1758)	2104217	Chrysopidia ciliata (Wesmael, 1841)	1	SPECIES	SYNONYM	Animalia	1	Arthropoda	54	Insecta	216	Neuroptera	1501	Chrysopidae	9265	Chrysopidia	11390112	Chrysopidia ciliata	2104217	NE
2194571	Phthiracarus anonymus Grandjean, 1933	2194571	Phthiracarus anonymus Grandjean, 1933	5	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Arachnida	367	Sarcoptiformes	542	Phthiracaridae	3639	Phthiracarus	2194522	Phthiracarus anonymus	2194571	NE
2481121	Chlidonias hybrida (Pallas, 1811)	2481121	Chlidonias hybrida (Pallas, 1811)	20	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Aves	212	Charadriiformes	7192402	Laridae	9316	Chlidonias	2481118	Chlidonias hybrida	2481121	LC
2519770	Hymenochaete rubiginosa (Dicks.) Lév.	2519770	Hymenochaete rubiginosa (Dicks.) Lév.	6	SPECIES	ACCEPTED	Fungi	5	Basidiomycota	34	Agaricomycetes	186	Hymenochaetales	1304	Hymenochaetaceae	8468	Hymenochaete	2513798	Hymenochaete rubiginosa	2519770	NE
2531072	Clitocybe nebularis (Batsch) P.Kumm.	2531072	Clitocybe nebularis (Batsch) P.Kumm.	8	SPECIES	ACCEPTED	Fungi	5	Basidiomycota	34	Agaricomycetes	186	Agaricales	1499	Tricholomataceae	8787	Clitocybe	2519188	Clitocybe nebularis	2531072	NE
2606030	Usnea hirta (L.) Weber ex F.H.Wigg.	2606030	Usnea hirta (L.) Weber ex F.H.Wigg.	2	SPECIES	ACCEPTED	Fungi	5	Ascomycota	95	Lecanoromycetes	180	Lecanorales	1048	Parmeliaceae	8305	Usnea	2605982	Usnea hirta	2606030	NE
2974786	Vicia sepium L.	2974786	Vicia sepium L.	47	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Fabales	1370	Fabaceae	5386	Vicia	2974751	Vicia sepium	2974786	LC
3138230	Carthamus lanatus L.	3138230	Carthamus lanatus L.	66	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Asterales	414	Asteraceae	3065	Carthamus	3138214	Carthamus lanatus	3138230	NE
3188736	Lythrum salicaria L.	3188736	Lythrum salicaria L.	182	SPECIES	ACCEPTED	Plantae	6	Tracheophyta	7707728	Magnoliopsida	220	Myrtales	690	Lythraceae	6684	Lythrum	3188731	Lythrum salicaria	3188736	LC
4485798	Carpocoris purpureipennis (DeGeer, 1773)	4485798	Carpocoris purpureipennis (DeGeer, 1773)	40	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hemiptera	809	Pentatomidae	9650	Carpocoris	4405367	Carpocoris purpureipennis	4485798	NE
4544416	Aceria drabae (Nalepa, 1890)	4544416	Aceria drabae (Nalepa, 1890)	1	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Arachnida	367	Trombidiformes	543	Eriophyidae	2816	Aceria	2128489	Aceria drabae	4544416	NE
5113078	Herminia grisealis (Denis & Schiffermüller), 1775	5113078	Herminia grisealis (Denis & Schiffermüller), 1775	3	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Lepidoptera	797	Erebidae	4532185	Herminia	1791874	Herminia grisealis	5113078	NE
5152543	Raglius alboacuminatus (Goeze, 1778)	5152543	Raglius alboacuminatus (Goeze, 1778)	5	SPECIES	ACCEPTED	Animalia	1	Arthropoda	54	Insecta	216	Hemiptera	809	Rhyparochromidae	4326	Raglius	5152542	Raglius alboacuminatus	5152543	NE
